# Edit at your own risk. Consists of Location Data for GTASA Admin Console
# This file gets regenerated when you click on Save Changes to Config File button.
# If you delete this file, it will be regenerated by the next time you run GTASA_Console
GTASAWarpLocations
#GTA San Andreas Warp Locations:
#UID | Folder | Description | LocationData(X;Y;Z;Angle)
C5DA1958-B799-9C47-BA32-625169A7B5F8|GTA SA Locations\Horseshoes|Horseshoe 10|2612;2200;-1;90
2FBF627C-CC0A-D649-B97B-712F064B74CF|GTA SA Locations\Horseshoes|Horseshoe 11|2274;1507;24;90
809D51A7-5E31-BC48-8920-CE123976577C|GTA SA Locations\Horseshoes|Horseshoe 12|2184;2529;11;90
90ED3992-4238-834A-AB7C-E5D47B83AB56|GTA SA Locations\Horseshoes|Horseshoe 13|1863;2314;15;90
FE745255-7DF2-F146-B045-D2029D3C0927|GTA SA Locations\Horseshoes|Horseshoe 14|2054;2434;166;90
A8A4A473-F393-C745-94DD-7B2088EF78F8|GTA SA Locations\Horseshoes|Horseshoe 15|1603;1435;11;90
A185AB4F-9965-8940-8D60-2E5C22B71D0B|GTA SA Locations\Horseshoes|Horseshoe 16|1362.92;1015.24;11;90
7675E3D3-297C-064B-8BBF-FF22A275907D|GTA SA Locations\Horseshoes|Horseshoe 17|2058.7;2159.1;16;90
4990C4C0-3515-634B-9E68-D0E1CBCA5590|GTA SA Locations\Horseshoes|Horseshoe 18|2003;1672;12;90
FA5B8720-4C03-3047-98F3-D6DF6B89B411|GTA SA Locations\Horseshoes|Horseshoe 19|2238;1135;49;90
654B750A-449A-2544-81AF-478DAC7FD749|GTA SA Locations\Horseshoes|Horseshoe 20|1934.06;988.79;22;90
C9EF7A29-09E4-FA4B-8B0B-47B03F1DAE7B|GTA SA Locations\Horseshoes|Horseshoe 21|1768;2847;9;90
62C93A90-BA7D-B84D-9743-F8AA6061A051|GTA SA Locations\Horseshoes|Horseshoe 22|1084;1076;11;90
46C6ED8D-2ED7-8A45-AA9C-618CAB2C348D|GTA SA Locations\Horseshoes|Horseshoe 23|2879;2522;11;90
0207F072-693E-D840-8F78-C3F22263B30B|GTA SA Locations\Horseshoes|Horseshoe 24|2371;2009;15;90
81F674BA-E836-B847-B42D-12105F068DE9|GTA SA Locations\Horseshoes|Horseshoe 25|1521;1690;10.6;90
A7C05A64-C95F-364C-873A-0AF1CCAAC7C4|GTA SA Locations\Horseshoes|Horseshoe 26|2417;1281;21;90
B9E74549-B7E9-1940-B808-C56044ADAF76|GTA SA Locations\Horseshoes|Horseshoe 27|1376;2304;15;90
222C51E6-5BE4-4140-A845-AE82C0AA0737|GTA SA Locations\Horseshoes|Horseshoe 28|1393;1832;12.34;90
A91ECECB-7100-BB47-9EAC-645B16EE30A4|GTA SA Locations\Horseshoes|Horseshoe 29|984;2563;12;90
01DFB6B0-4727-884D-85F4-951C5C06722B|GTA SA Locations\Horseshoes|Horseshoe 30|1767;601;13;90
2FE046A8-2194-7643-A0D5-2D502CC110AC|GTA SA Locations\Horseshoes|Horseshoe 31|2108;1003;46;90
76DF84B0-B7BA-064A-BECB-7A37DDAE2DB4|GTA SA Locations\Horseshoes|Horseshoe 32|2705.98;1862.52;24.41;90
3FEC99B9-B873-BF46-9C2D-5E5B70F6CA15|GTA SA Locations\Horseshoes|Horseshoe 33|2493;922;16;90
AF47F17A-80D7-9240-A82F-BF7384F9D351|GTA SA Locations\Horseshoes|Horseshoe 34|1881;2846;11;90
30755B5E-6998-5145-B9E2-2EC8B6546A52|GTA SA Locations\Horseshoes|Horseshoe 35|2020;2352;11;90
CC897CAC-B687-F449-8765-244392E27EB3|GTA SA Locations\Horseshoes|Horseshoe 36|1680.3;2226.86;16.11;90
42034290-2A21-2849-B166-46B136B6FDDF|GTA SA Locations\Horseshoes|Horseshoe 37|1462;936;10;90
836F6866-519A-9F4C-8F3C-CE05AFE98A88|GTA SA Locations\Horseshoes|Horseshoe 38|2125.5;789.23;11.45;90
1ED38222-0FF0-2149-A6D5-3BD80400FC22|GTA SA Locations\Horseshoes|Horseshoe 39|2588;1902;15;90
9BC50855-59BE-6A4C-89AF-B65B11260F40|GTA SA Locations\Horseshoes|Horseshoe 40|919;2070;11;90
3953F627-E493-E149-98C6-5F9341780267|GTA SA Locations\Horseshoes|Horseshoe 41|2173;2465;11;90
401F7058-A311-324B-8E84-0D5F672D44B4|GTA SA Locations\Horseshoes|Horseshoe 42|2031.25;2207.33;11;90
EC1A223C-3F87-8643-82B2-EFAB6C1C7A80|GTA SA Locations\Horseshoes|Horseshoe 43|2509;1144;19;90
F789E376-26B2-DA4B-8F63-9A9AA5F2646F|GTA SA Locations\Horseshoes|Horseshoe 44|2215;1968;11;90
E90B0DBE-6DEE-5447-9F34-2E81A4CCD8A4|GTA SA Locations\Horseshoes|Horseshoe 45|2626;2841;11;90
B8923DD2-5D15-FD4F-9268-D6CF0F5BC4B4|GTA SA Locations\Horseshoes|Horseshoe 46|2440.08;2161.07;20;90
64531205-E3AD-CD49-A62B-F0025F0C6C67|GTA SA Locations\Horseshoes|Horseshoe 47|1582;2401;19;90
84323381-2897-E145-BE2F-3627A2C8E843|GTA SA Locations\Horseshoes|Horseshoe 48|2077;1912;14;90
9B2DAFA9-4912-784D-A24B-37E6CEBFBE69|GTA SA Locations\Horseshoes|Horseshoe 49|970;1787;11;90
9A66C497-6983-9540-A397-D70A7A20B54B|GTA SA Locations\Horseshoes|Horseshoe 50|1526.22;751;29.04;90
93516E97-7562-5D46-8476-AB498A9DBB12|GTA SA Locations\Misc|Bomb Workshop|1837.316;-1856.73;13.279;90
9A8211AE-79FB-554A-806C-7A262D438452|GTA SA Locations\Oysters|Oyster 01|979;-2210;-3;90
658EB6E6-7955-7945-A7F4-E165D6DAF793|GTA SA Locations\Oysters|Oyster 02|2750;-2584;-5;90
32EB35DB-ACDD-C542-B9F0-8AAB1C9ED0DE|GTA SA Locations\Oysters|Oyster 03|1279;-806;85;90
B304746F-3E7D-9945-AE35-05BEA6C669E1|GTA SA Locations\Oysters|Oyster 04|2945.13;-2051.93;-3;90
D9289C97-769D-804A-B5CA-92989F96E57D|GTA SA Locations\Oysters|Oyster 05|67;-1018;-5;90
2CEBCE99-444F-5244-9922-271A6FCAAE8A|GTA SA Locations\Oysters|Oyster 06|2327;-2662;-5;90
77DF1020-197D-C64C-AE58-03A305FF7A6C|GTA SA Locations\Oysters|Oyster 07|2621;-2506;-5;90
61D44E18-8242-2145-B5CE-8007761A9604|GTA SA Locations\Oysters|Oyster 08|1249;-2687;-1;90
9B61953E-2526-2A47-860A-28FC0D104C9B|GTA SA Locations\Oysters|Oyster 09|725;-1849;-5;90
6C13B7AE-6C1E-8446-91E5-BC08023B4BEC|GTA SA Locations\Oysters|Oyster 10|723;-1586;-3;90
49935586-DE41-094A-A3D4-CEAE9058BA9A|GTA SA Locations\Oysters|Oyster 11|155;-1975;-8;90
A8D924C6-F30B-BA47-8647-62A6530B6235|GTA SA Locations\Oysters|Oyster 12|1968;-1203;17;90
020657D7-6B1E-9C4C-9B8E-18E6E312968C|GTA SA Locations\Oysters|Oyster 13|-2657;1564;-6;90
DA32FB9C-2D08-5540-8788-A440B86359FE|GTA SA Locations\Oysters|Oyster 14|-1252;501;-8;90
914D4203-A1DD-9D4C-B8F8-CD3771DC9A2C|GTA SA Locations\Oysters|Oyster 15|-1625;4;-10;90
D56F5EEF-B134-4845-9A1B-8285F22814EA|GTA SA Locations\Oysters|Oyster 16|-1484;1489;-10;90
DCA1A327-31CD-124D-B549-D6B7B48DD360|GTA SA Locations\Oysters|Oyster 17|-2505.406;1543.724;-22.555;90
8790FBE3-1D81-DC45-A421-13D46639211B|GTA SA Locations\Oysters|Oyster 18|-2727;-469;-5;90
2F7EDE75-E109-F543-A837-F353114E705F|GTA SA Locations\Oysters|Oyster 19|-1266;966;-10;90
F82B8650-622F-B248-BA1E-4666A1323D69|GTA SA Locations\Oysters|Oyster 20|-1013;478;-7;90
A4D497E4-AF2E-8144-B6B7-F2021994CCD2|GTA SA Locations\Oysters|Oyster 21|-1364;390;-5;90
DAF38FEB-1A71-EE40-B27F-9DC1DB39FB63|GTA SA Locations\Oysters|Oyster 22|2578;2382;16;90
A721B75B-215D-B448-8050-30E481EE8203|GTA SA Locations\Oysters|Oyster 23|2090;1898;8;90
B91637FA-BEF1-3B4B-95C9-A85AD3DFF5F0|GTA SA Locations\Oysters|Oyster 24|2130;1152;7;90
3CD45987-A6FD-A143-B191-1A0E09A2EF25|GTA SA Locations\Oysters|Oyster 25|2013;1670;7;90
CEA5AB68-E2CB-C84F-965C-78BFB0265A35|GTA SA Locations\Oysters|Oyster 26|2531;1569;9;90
AA1400FB-8019-B04E-BEAA-58881C9ADDDD|GTA SA Locations\Oysters|Oyster 27|2998;2998;-10;90
E95532EA-C476-8349-A740-23F0BFE0C10C|GTA SA Locations\Oysters|Oyster 28|-832;925;-2;90
9CDE20C4-3F7F-0F41-A191-E021FF1B8FBB|GTA SA Locations\Oysters|Oyster 29|486;-253;-4;90
DDE044C5-03EF-EE49-88BD-A9BDDFDFD3C0|GTA SA Locations\Oysters|Oyster 30|-90;-910;-5;90
80844957-8BCB-D843-A2C4-F685253F49A1|GTA SA Locations\Oysters|Oyster 31|26.43;-1320.94;-10.04;90
B4EDBFFD-0E57-9B42-9641-B7CB8A6D1E1A|GTA SA Locations\Oysters|Oyster 32|-207;-1682;-8;90
A4810A33-54C9-0141-9740-78526E4F5063|GTA SA Locations\Oysters|Oyster 33|-1672;-1641;-2;90
9417A28D-F09A-7C4E-A4B7-03DCE391C62B|GTA SA Locations\Oysters|Oyster 34|-1175;-2639;-2.5;90
3507512E-3EB3-554F-96AE-DB5CF58FF7F2|GTA SA Locations\Oysters|Oyster 35|-1097;-2858;-8;90
C5855515-1C15-6A43-9B5A-9696AB065081|GTA SA Locations\Oysters|Oyster 36|-2889;-1042;-9;90
5EA4C8E8-3266-9546-87B4-BFEA3C836D10|GTA SA Locations\Oysters|Oyster 37|-659;874;-2;90
D3C0E542-A86A-2F47-967B-F0A6386A8622|GTA SA Locations\Oysters|Oyster 38|-955;2628;35;90
483BF962-BC3D-2445-9674-4B8CF0935F18|GTA SA Locations\Oysters|Oyster 39|-1066;2197;32;90
20D15A11-2DEE-354A-A305-9FEEAA6778C0|GTA SA Locations\Oysters|Oyster 40|40;-531;-8;90
552786ED-2694-3F4C-82A7-F95D2D6B6064|GTA SA Locations\Oysters|Oyster 41|-765;247;-8;90
540752FA-BC13-6E4E-B3AF-88CED1F10021|GTA SA Locations\Oysters|Oyster 42|2098;-108;-2;90
F96BE055-41E4-544A-A575-0388575D9E45|GTA SA Locations\Oysters|Oyster 43|2767;470;-8;90
98F0531D-F942-8441-AD12-03CAB45F9798|GTA SA Locations\Oysters|Oyster 44|-783;2116;35;90
D44FF827-C247-604B-BF34-05814E6DB653|GTA SA Locations\Oysters|Oyster 45|-821;1374;-8;90
6C3BE772-5505-0E46-92B6-69F4243868B1|GTA SA Locations\Oysters|Oyster 46|-2110.5;2329.72;-7.5;90
4A0196B6-3E92-2448-9FC4-9892276C2531|GTA SA Locations\Oysters|Oyster 47|-1538;1708;-3.27;90
2B0D2E0E-9CCA-4C4F-82AF-061DAD3FADED|GTA SA Locations\Oysters|Oyster 48|-2685;2153;-5;90
12F35C88-3FBE-6D43-969C-F099CA2D92BB|GTA SA Locations\Oysters|Oyster 49|796;2939;-5;90
B6019680-2322-A24B-B5BE-F14521A95F7A|GTA SA Locations\Oysters|Oyster 50|2179;235;-5;90
B52B73CC-C7A7-2448-B703-A78E3B9C32AC|GTA SA Locations\Photos|Photo 01|-2511.28;-672.99;195.75;90
76AF38E2-7741-9B4F-BA7F-88C5664FDAD5|GTA SA Locations\Photos|Photo 02|-2723.63;-314.72;55.79;90
439AEB3D-5E74-CC49-82E8-68B2FDD15AC8|GTA SA Locations\Photos|Photo 03|-1737.71;-579.55;26.19;90
5283EF21-3E1A-504A-A1A1-DBEFE95CC4B1|GTA SA Locations\Photos|Photo 04|-1486.08;920.04;41.37;90
FEC202E6-EC93-BB41-A473-6B847479D533|GTA SA Locations\Photos|Photo 05|-1269.82;963.63;130.37;90
F15C8B2C-DB3D-FD43-9266-A5EF3B3BAF88|GTA SA Locations\Photos|Photo 06|-1650.01;422;21.17;90
7E89DCCF-0196-E341-AD67-0F17741BE535|GTA SA Locations\Photos|Photo 07|-1851.72;-96.73;24.37;90
6667A1D6-9799-0F4F-B9CE-2B0D3464D594|GTA SA Locations\Photos|Photo 08|-2732;-244;19;90
D5064F16-C1D0-AA45-9F6D-341DDF17E370|GTA SA Locations\Photos|Photo 09|-2802.75;375.47;36.59;90
999423FE-C2D1-FE44-9D98-48B3C44F0304|GTA SA Locations\Photos|Photo 10|-2773.04;783.45;67.66;90
149C223C-909D-8F4F-B12E-14B2462158E5|GTA SA Locations\Photos|Photo 11|-2680.07;1590.8;143.53;90
52696522-80F2-064D-8CA2-753E50D728F3|GTA SA Locations\Photos|Photo 12|-2476.75;1543.44;49.26;90
9420A2C7-E981-DA40-BF5A-BCAEF4A8CFBE|GTA SA Locations\Photos|Photo 13|-1879.04;1456.52;9.34;90
3C1067D6-0137-B446-AA88-991BBFBE03A0|GTA SA Locations\Photos|Photo 14|-1561.55;655.19;56.52;90
5FF79D2D-7014-1847-A7CC-F5F45C08EA21|GTA SA Locations\Photos|Photo 15|-1325.15;494.19;26.83;90
03384D9C-B627-0B48-B880-626BE19DAA17|GTA SA Locations\Photos|Photo 16|-1941.41;137.72;37.83;90
1FDA8F25-028B-BE47-A58D-E74DB453B85A|GTA SA Locations\Photos|Photo 17|-2153.23;462.25;103.27;90
7F4A5274-4813-5143-A0F4-CB1A62D679C9|GTA SA Locations\Photos|Photo 18|-2243.96;577.76;49;90
6CC5B135-D0DA-284C-B349-2764A4BD348F|GTA SA Locations\Photos|Photo 19|-2051;456;167;90
F8FDC552-EEC2-3749-939B-BA33043190D4|GTA SA Locations\Photos|Photo 20|-1951;659;81;90
675B510E-29E7-9B4F-8640-6F46FD201D55|GTA SA Locations\Photos|Photo 21|-2064;926;63;90
79671A2A-F084-864A-A293-F94C8BC3E237|GTA SA Locations\Photos|Photo 22|-2357.33;1017.01;59.76;90
F9589173-53EC-4743-8EDF-B2CC629FB19C|GTA SA Locations\Photos|Photo 23|-2072;1066;74;90
889B655B-5B56-6347-9723-0CDDAF9A5059|GTA SA Locations\Photos|Photo 24|-1744;972.46;156.89;90
F826FBCE-7B19-3747-9ADB-4865F49A9E5E|GTA SA Locations\Photos|Photo 25|-1941;883;68;90
97B80A02-4924-1C48-8530-FE6DBE258BF8|GTA SA Locations\Photos|Photo 26|-1839.51;1086.88;101.29;90
A7051CB9-888B-7244-8E6D-F35085928692|GTA SA Locations\Photos|Photo 27|-1704.8;1338;14;90
A551E417-A1F4-3A40-926B-ED870F1672B7|GTA SA Locations\Photos|Photo 28|-2346.62;536.85;86.02;90
6A7A8138-EFBB-E94F-87F2-BDBC2679E628|GTA SA Locations\Photos|Photo 29|-2443;755;49;90
7BDAA7BD-7DA3-EF48-B4B5-F0D034648F37|GTA SA Locations\Photos|Photo 30|-2765;375;15;90
36514EE7-AFDE-CE42-AE6E-F3BC93B2A9DF|GTA SA Locations\Photos|Photo 31|-2880.31;-935.83;40.82;90
C2834D37-342C-F245-8F12-D451AC2DE03F|GTA SA Locations\Photos|Photo 32|-2083;-808;69;90
199E7458-57A0-934B-968B-93051FC360B2|GTA SA Locations\Photos|Photo 33|-1954;-760;53;90
87D8ED89-7A8F-DF49-B9F6-E5F92ED0FFB4|GTA SA Locations\Photos|Photo 34|-964.53;-331.59;47.16;90
4C313137-4086-2E49-8F07-CE39ECDED2E6|GTA SA Locations\Photos|Photo 35|-1689;51;38;90
7C460CF7-0AF8-EC43-A71B-BC72E6C6DAB0|GTA SA Locations\Photos|Photo 36|-2080;256.05;107;90
1124D9AC-FAAF-7C48-9B67-75F4ADAFB4D9|GTA SA Locations\Photos|Photo 37|-2413;331;37;90
EA4ACB37-A1B8-9145-BF6C-9AA2183B0F84|GTA SA Locations\Photos|Photo 38|-2244.42;731.32;61.88;90
3CA0334C-E069-5B4A-89EA-68B5F848D3F2|GTA SA Locations\Photos|Photo 39|-2462;369;59;90
486611B9-C110-0A4D-A78B-24312A7E1589|GTA SA Locations\Photos|Photo 40|-1124.44;-153.15;18.5;90
FAB290FF-8196-D844-B90B-27AE6F937FA1|GTA SA Locations\Photos|Photo 41|-1275.78;53.68;89.07;90
E2046174-B440-344F-AB95-29673387F974|GTA SA Locations\Photos|Photo 42|-2430;38;51;90
CBE70316-62DE-AA41-94AD-6E33216ED28B|GTA SA Locations\Photos|Photo 43|-2591;162;15;90
2AE468D3-EAC5-EB43-A7E5-D85A5A907BE9|GTA SA Locations\Photos|Photo 44|-2591;-16;17;90
658036B7-7DEA-D442-9BEB-5873E4E90A50|GTA SA Locations\Photos|Photo 45|-2648;-5;31;90
4F622674-8F1E-484A-B217-B93E1E59132B|GTA SA Locations\Photos|Photo 46|-2593;56;16;90
5CF36CDE-8E18-9F45-A0D3-27F68E511DAE|GTA SA Locations\Photos|Photo 47|-1619.31;1341.39;11.3;90
6B9FCDEB-ADAF-3242-8B62-F2281C93A231|GTA SA Locations\Photos|Photo 48|-2307;207;42;90
4F7B3FCD-7397-894E-9702-4467C0DE44E7|GTA SA Locations\Photos|Photo 49|-2343;-79;38;90
712A1FBA-4BE1-294B-9872-E5F4F146D6D1|GTA SA Locations\Photos|Photo 50|-1906.66;518.58;61.71;90
B3167DFE-F4E0-534B-B3B9-AE1C14915EF9|GTA SA Locations\Safehouses\Countryside|Angel Pine 1|-2038.517;-2530.141;30.228;90
989F687B-6214-3942-A1D1-52E62D9A08FC|GTA SA Locations\Safehouses\Countryside|Angel Pine 2|-2074.844;-2302.031;30.226;90
BCD3913A-281F-AA43-A887-720626F875DF|GTA SA Locations\Safehouses\Countryside|Blueberry|225.532;-117.209;1.187;181.998
00BE18C2-F282-AE4B-BA59-1E2553F8BA7F|GTA SA Locations\Safehouses\Countryside|Dillimore|785.878;-513.586;16.257;178.630
0563027B-D345-404F-B33C-63CBB10649A5|GTA SA Locations\Safehouses\Countryside|Fern Ridge|880.188;-35.172;63.248;90
570A0A30-5FE3-674D-B726-E5162DDE1A2B|GTA SA Locations\Safehouses\Countryside|Palomino Creek|2231.993;159.883;26.744;181.753
9B29A637-2F7C-8043-A8B8-BD99FBF814A0|GTA SA Locations\Safehouses\Countryside|Whetstone|-1443.066;-1533.754;101.758;0
8F58F09F-BF02-1C4C-90AD-14A17650AEBA|GTA SA Locations\Safehouses\Desert|El Quebrados|-1536.981;2640.041;55.528;0
30D8A4A5-CAC6-9548-A8AF-F10FDD184BCB|GTA SA Locations\Safehouses\Desert|Fort Carson|-360.301;1165.025;19.370;229.963
8B1AFD19-6F96-8742-B88D-BEF08B029FAD|GTA SA Locations\Safehouses\Desert|Tierra Robada 1|-704.043;961.750;12.007;90
7E480F87-1DB6-FE4A-ABF5-9FAD5330F1A4|GTA SA Locations\Safehouses\Desert|Tierra Robada 2|-1044.490;1543.261;32.684;311.233
A620CCD9-C59E-FD40-9983-3366092040B3|GTA SA Locations\Safehouses\Desert|Verdant Meadows|425.823;2521.110;16.094;88.879
FE999DBE-40DB-8946-9340-AF5108C14117|GTA SA Locations\Safehouses\Las Venturas|Camel's Toe|2234.381;1285.571;10.509;0
1F9B090A-7AB4-9E47-A023-D0D999C8383A|GTA SA Locations\Safehouses\Las Venturas|Clown's Pocket|2219.460;1837.730;10.820;2.715
E5F91C80-7CEA-5948-9A18-06B395D71942|GTA SA Locations\Safehouses\Las Venturas|Creek|2816.201;2155.880;10.426;359.997
17D83DB5-ACE8-E445-B7DC-84E4CCA1AA48|GTA SA Locations\Safehouses\Las Venturas|Four Dragons Casino|2034.918;1002.826;10.419;90
9E2AF614-3E6C-9C44-98EB-27C0B4D10B60|GTA SA Locations\Safehouses\Las Venturas|Old Venturas Strip|2368.445;2162.211;10.825;136.643
9F763AA8-3C6C-DD49-ADF4-44AD24F546D5|GTA SA Locations\Safehouses\Las Venturas|Prickle Pine|1290.155;2532.631;10.281;359.926
60E34094-30A3-6D47-BF42-9B05242402CC|GTA SA Locations\Safehouses\Las Venturas|Redsands West|1399.878;1903.433;11.017;90
F9674D85-9BC9-E046-81EB-9B95B992BEFC|GTA SA Locations\Safehouses\Las Venturas|Rockshore West|2442.506;698.107;11.171;90
D496EB18-EBDF-B74B-B1C8-B3AD8DE7C372|GTA SA Locations\Safehouses\Las Venturas|The Pirates in Men's Pants|2039.840;1623.566;10.358;180
532AABE3-D8E4-0947-9E06-1F8A287A9243|GTA SA Locations\Safehouses\Las Venturas|Whitewood Estates|922.398;2012.875;11.150;90
F4A53CE8-D0F5-ED4C-855A-7BF0E1A3DD0C|GTA SA Locations\Safehouses\Los Santos|Ganton (Johnson House)|2499.978;-1679.716;13.256;90
BC8F477B-9AC0-5C43-9367-5A9CE8015C16|GTA SA Locations\Safehouses\Los Santos|Jefferson|2102.820;-1287.684;24.093;180.137
6B419BD0-637F-BF4B-B112-7AEB42565B20|GTA SA Locations\Safehouses\Los Santos|Mulholland 1|1246.353;-780.166;90.397;175.721
F9B6E6D5-2AEB-0343-870F-6CF2BB42CB4B|GTA SA Locations\Safehouses\Los Santos|Mulholland 2|1339.439;-623.463;109.027;90
857B1B6E-8155-994F-92BC-BEC4D8C0BDDD|GTA SA Locations\Safehouses\Los Santos|Santa Maria Beach|318.927;-1775.797;4.672;90
F8C26450-F8C3-9C41-ADCF-23E3937B901D|GTA SA Locations\Safehouses\Los Santos|Verdant Bluffs (El Corona)|1687.503;-2106.201;13.439;90
CB96E3AB-B9B9-204A-A013-E47FE5328168|GTA SA Locations\Safehouses\Los Santos|Verona Beach|903.214;-1658.882;13.145;90
79F38E7F-29A5-C949-A605-9645A0CD2C5D|GTA SA Locations\Safehouses\Los Santos|Willowfield|2484.511;-2007.674;12.914;90
B6588673-9740-6B4C-8E2B-0BCAE7148CBE|GTA SA Locations\Safehouses\San Fierro|Calton Heights|-2105.438;901.622;76.130;11.035
2ECA972B-9911-C340-ADBB-D013743A3B99|GTA SA Locations\Safehouses\San Fierro|Chinatown|-2219.593;728.326;48.863;90
D7A0A3F4-5E0C-5B40-9CD4-6285001D3F7A|GTA SA Locations\Safehouses\San Fierro|Doherty (Driving School)|-2018.963;-52.938;34.940;269.545
41D9FA5D-46AD-414B-82CB-742B32E05378|GTA SA Locations\Safehouses\San Fierro|Doherty (Garage)|-2025.076;142.036;28.728;90
9204B389-F5F3-FC4B-8386-D88ED63CAF03|GTA SA Locations\Safehouses\San Fierro|Hashbury|-2460.498;-126.027;25.495;90
644D2FD2-9C21-404A-A1BD-6D225419FB84|GTA SA Locations\Safehouses\San Fierro|Paradiso|-2698.276;814.445;49.721;90
7DF4CF2A-EFCA-1041-AF2E-8DD5B8798C45|GTA SA Locations\Safehouses\San Fierro|Queens|-2413.314;330.866;34.661;146.624
3E74FFBA-E186-404A-90EB-90DB55BDBD7E|GTA SA Locations\Tags|Tag 001 (Done by Storyline)|2100.638;-1649.044;13.453;277.929
BBFD664E-E8E1-2843-98F5-834306FA7717|GTA SA Locations\Tags|Tag 002 (Done by Storyline)|2067.800;-1653.841;13.547;91.181
D169AA56-5A91-F24F-8414-7FB54C5A422A|GTA SA Locations\Tags|Tag 003 (Done by Storyline)|2044.746;-1636.393;13.547;272.869
E4C5637F-46F3-3A4B-81FA-0ACBE3C58357|GTA SA Locations\Tags|Tag 004 (Done by Storyline)|2352.364;-1508.318;24.000;271.733
1C0F7959-14E5-164A-94E5-B89F64F41E92|GTA SA Locations\Tags|Tag 005 (Done by Storyline)|2394.179;-1471.674;23.922;0.337
2E600BC3-FFF5-E344-A8C7-30805CEFBC89|GTA SA Locations\Tags|Tag 006 (Done by Storyline)|2399.490;-1551.684;28.000;180.818
6DB26D68-BB54-414C-9FC5-4DE20E024E4C|GTA SA Locations\Tags|Tag 007|2421.745;-1682.660;13.794;266.093
04894CD1-D713-D940-A52A-7F267B79EE64|GTA SA Locations\Tags|Tag 008|2272.954;-1689.444;13.652;0
B991B62A-F8E8-5842-8719-981545EC8239|GTA SA Locations\Tags|Tag 009|2072.618;-1579.047;13.457;270
52E6172F-BDF1-664F-AF94-2B0A1EEBE943|GTA SA Locations\Tags|Tag 010|1958.385;-1576.321;13.585;225
2DD61083-4CDC-7343-82D2-B28D67832403|GTA SA Locations\Tags|Tag 011|1767.411;-1617.243;14.471;160.498
1C3A424E-DA2E-7149-992B-7C39FCD83878|GTA SA Locations\Tags|Tag 012|1836.122;-1640.308;13.361;270
3BE6693A-CB26-5C41-9F96-B98FF348B8A5|GTA SA Locations\Tags|Tag 013|1800.811;-1708.467;13.534;90
6D57579B-763F-EC4B-8042-8A33131BD8E6|GTA SA Locations\Tags|Tag 014|1724.732;-1739.473;13.547;180
BF7815F2-56AB-DA46-B081-FD2115D3944D|GTA SA Locations\Tags|Tag 015|1837.716;-1813.015;3.984;163.632
0D474F69-1C6B-1149-814A-47992E18B43E|GTA SA Locations\Tags|Tag 016|1909.934;-1778.047;17.976;180
A683526A-7124-1944-A2D6-1AEA5433F3D2|GTA SA Locations\Tags|Tag 017|2034.417;-1803.195;13.547;4.480
10AA5A60-E333-1047-A66A-25DC0DBF8C6D|GTA SA Locations\Tags|Tag 018|2162.814;-1788.723;13.517;359.154
458F1894-3E9E-1A4D-8780-ADABF8693456|GTA SA Locations\Tags|Tag 019|2065.419;-1899.307;13.554;0
C8CD7BD3-4D7D-F549-803C-C2E4AFE6CC56|GTA SA Locations\Tags|Tag 020|1849.993;-1878.049;13.515;0
